시도,시군구,도로명,주소,유형,높이_cm,폭_cm,위도,경도,연속형여부,보차분리여부,밀집개수,경사도_도,충격점수,미터당감점
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 181-36,원호형,10.0,360.0,37.747266,126.805961,N,N,1,0.0,1.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 278,원호형,10.0,360.0,37.747181,126.806664,N,Y,1,1.91,1.014,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 276,원호형,10.0,360.0,37.747247,126.807124,N,Y,1,9.51,1.066,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 181-36,가상형,0.0,0.0,37.747202,126.806871,N,N,1,9.51,0.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 269,원호형,10.0,360.0,37.746985,126.8090202,N,Y,1,0.0,1.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 183-40,가상형,0.0,0.0,37.746638,126.808078,N,Y,1,0.0,0.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 236-24,가상형,0.0,0.0,37.746343,126.809055,Y,Y,1,0.0,0.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 236-28,원호형,10.0,360.0,37.746302,126.809123,Y,Y,1,0.0,1.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 236-31,가상형,0.0,0.0,37.746345,126.809381,N,Y,1,0.0,0.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 275,가상형,0.0,0.0,37.746897,126.809241,N,Y,1,0.0,0.0,0.0
경기도,파주시,내산길,경기도 파주시 조리읍 봉일천리 275,원호형,10.0,360.0,37.746925,126.808412,N,Y,1,9.46,1.066,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 262-33,원호형,10.0,360.0,37.746977,126.810117,Y,Y,1,0.95,1.007,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 262-30,원호형,10.0,360.0,37.747169,126.810204,Y,Y,1,0.95,1.007,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 262-7,원호형,10.0,360.0,37.747185,126.810755,Y,Y,1,0.0,1.0,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 262-7,원호형,10.0,360.0,37.747093,126.810922,Y,Y,1,0.95,1.007,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 262-33,원호형,10.0,360.0,37.746806,126.810095,N,N,1,0.0,1.0,0.0
경기도,파주시,두루봉로,경기도 파주시 조리읍 봉일천리 산 32-5,원호형,10.0,360.0,37.745576,126.810208,N,Y,1,13.64,1.093,0.0
경기도,파주시,솔바위골길,경기도 파주시 조리읍 봉일천리 78-1,원호형,10.0,360.0,37.741421,126.820629,N,N,1,0.0,1.0,0.0
경기도,파주시,삼릉로,경기도 파주시 조리읍 봉일천리 64-7,원호형,10.0,360.0,37.740563,126.826519,Y,Y,1,2.7,1.019,0.0
경기도,파주시,삼릉로,경기도 파주시 조리읍 봉일천리 64-41,가상형,0.0,0.0,37.739453,126.825132,N,Y,1,0.0,0.0,0.0
경기도,파주시,삼릉로,경기도 파주시 조리읍 봉일천리 62-111,가상형,0.0,0.0,37.738726,126.824283,N,Y,1,0.0,0.0,0.0
경기도,파주시,전나무길,경기도 파주시 조리읍 봉일천리 60-22,원호형,10.0,360.0,37.737901,126.823893,N,N,1,0.0,1.0,0.0
경기도,파주시,전나무길,경기도 파주시 조리읍 봉일천리 8-92,가상형,0.0,0.0,37.737461,126.824884,N,N,1,0.0,0.0,0.0
경기도,파주시,전나무길,경기도 파주시 조리읍 봉일천리 8-42,원호형,8.0,200.0,37.737614,126.824662,N,Y,1,0.0,0.8,0.0
경기도,파주시,전나무길,경기도 파주시 조리읍 봉일천리 8-61,원호형,8.0,200.0,37.736773,126.825473,N,N,1,0.0,0.8,0.0
